,username,date,content,user_location,bulan
14,Fathul_Patoel,2021-03-25 02:39:45+00:00,"https://t.co/K40wIOimqO
Ulasan terkait bagaimana produksi Vaksin umumnya. Saya juga pernah tau dari penjelasan dokter ahli vaksin bahwa produksi vaksin ini lebih tepatnya bersinggungan dengan babi. Namun dr video itu jg dijelaskan bahwa vaksin tidak lagi mengandung unsur hewani.",Sumatera Selatan,Maret
15,Fathul_Patoel,2021-03-25 02:20:59+00:00,Ya kita tidak ada pilihan lain mau terima vaksin apa. Syukur2 kita dapet vaksin gratis dan penyalurannya juga bertahap dan untuk semua Warga Indonesia.,Sumatera Selatan,Maret
16,Fathul_Patoel,2021-03-25 02:20:58+00:00,Aku sendiri juga belum menemukan bagaimana pandangan negara muslim seperti Arab dan negara timur tengah lainnya terkait vaksin AstraZeneca ini.,Sumatera Selatan,Maret
17,Fathul_Patoel,2021-03-25 02:20:57+00:00,Betul emang yang Halal ya Halal dan yang Haram ya Haram. Namun persoalannya ini kenapa di Vaksin AstraZeneca ini yg disebutkan haram? Ya MUI Berfatwa berdasarkan laporan dari tim LPPOM MUI.,Sumatera Selatan,Maret
18,Fathul_Patoel,2021-03-25 02:20:55+00:00,Dan juga target penyalutan vaksin juga tergolong lama dikarenakan menunggu hasil BPOM dan juga LPPOM MUI yang selanjutnya akan dikeluarkan sebagai Fatwa terkait produk vaksin tersebut.,Sumatera Selatan,Maret
19,Fathul_Patoel,2021-03-25 02:20:54+00:00,"Bagaimana tujuan pemerintah ingin mencapai masyarakat Herd Imunity sedangkan proyeksi vaksinasi masyarakat tervaksin tidak tercapai. Dosis vaksin pun telah banyak disiapkan, belum lagi masa kedaluarsa vaksin ini dalam waktu dengan sudah masuk masanya.",Sumatera Selatan,Maret
20,Fathul_Patoel,2021-03-25 02:20:54+00:00,Kemudian yang menjadikan kekhawatiran adalah bila mana ada orang maupun sekelompok yang konservatif pada agama yang jelas dia ngga mau divaksin dan anti vaksin ditambah pernyataan bahwa vaksin ini haram berdasarkan Fatwa MUI.,Sumatera Selatan,Maret
21,Fathul_Patoel,2021-03-25 02:20:50+00:00,"https://t.co/vTCOQAmTHx
Ya ini perlu penelusuran dan investigasi bahwa kenapa MUI tetiba bilang AstraZeneca itu haram. Yang perlu digaris bawahi di sini adalah disinyalir ada hal2 berbau politik dan kepentingan terkait dikeluarkan fatwa haram terhadap vaksin tersebut.",Sumatera Selatan,Maret
22,desihapidi,2021-03-24 09:53:27+00:00,"belum vaksin udah ngantukan, badan pegel 😞 jadi besok kalo ada gejala itu bukan karena vaksin ya",Sumatera Selatan,Maret
23,RachmadMD,2021-03-24 04:54:57+00:00,Vaksin tahap pertama https://t.co/2mTD7QNwBx,Sumatera Selatan,Maret
24,FitriHBR,2021-03-16 11:29:27+00:00,@DianaaTM Rata-rata yg vaksin malah org cina yaa 😶😂,Sumatera Selatan,Maret
25,PolsekPlaju3,2021-03-16 09:19:53+00:00,"Personil  Polsek  Plaju 

Melaksanakan giat 
Penyuntikan vaksin

VAKSIN 
AMAN dan HALAL.

SAYA SUDAH DI VAKSIN
.
.
JAGOAN PALEMBANG
JAGO PALEMBANG!
.
#polripresisi
#PolisiDulurKito
@irvanprawira
@novelsiswandi1977 https://t.co/6PdVgRSMje",Sumatera Selatan,Maret
26,PolsekPlaju3,2021-03-16 09:17:47+00:00,"Personil  Polsek  Plaju 

Melaksanakan giat 
Penyuntikan vaksin

VAKSIN 
AMAN dan HALAL.

SAYA SUDAH DI VAKSIN
.
.
JAGOAN PALEMBANG
JAGO PALEMBANG!
.
#polripresisi
#PolisiDulurKito
@irvanprawira
@novelsiswandi1977 https://t.co/OmFnwTB4AZ",Sumatera Selatan,Maret
27,penpennapen,2021-03-16 07:21:46+00:00,Fix mari vaksin terus nguantuks rasane😭,Sumatera Selatan,Maret
28,PolsekPlaju3,2021-03-16 06:17:08+00:00,"Personil  Polsek  Plaju 

Melaksanakan giat 
Penyuntikan vaksin

VAKSIN 
AMAN dan HALAL.

SAYA SUDAH DI VAKSIN
.
.
JAGOAN PALEMBANG
JAGO PALEMBANG!
.
#polripresisi
#PolisiDulurKito
@irvanprawira
@novelsiswandi1977 https://t.co/CQxy33qEsV",Sumatera Selatan,Maret
29,PolsekPlaju3,2021-03-16 04:47:28+00:00,"VAKSIN 
AMAN dan HALAL.

SAYA SUDAH DI VAKSIN
.
.
JAGOAN PALEMBANG
JAGO PALEMBANG!
.
#polripresisi
#PolisiDulurKito
@irvanprawira
@novelsiswandi1977 https://t.co/rjfBMzPtSv",Sumatera Selatan,Maret
30,PolsekPlaju3,2021-03-16 04:47:20+00:00,"VAKSIN 
AMAN dan HALAL.

SAYA SUDAH DI VAKSIN
.
.
JAGOAN PALEMBANG
JAGO PALEMBANG!
.
#polripresisi
#PolisiDulurKito
@irvanprawira
@novelsiswandi1977 https://t.co/W1wL20584Y",Sumatera Selatan,Maret
31,PolsekPlaju3,2021-03-16 04:45:37+00:00,"VAKSIN 
AMAN dan HALAL.

SAYA SUDAH DI VAKSIN
.
.
JAGOAN PALEMBANG
JAGO PALEMBANG!
.
#polripresisi
#PolisiDulurKito
@irvanprawira
@novelsiswandi1977 https://t.co/ytUSMdarb0",Sumatera Selatan,Maret
32,PolsekPlaju3,2021-03-16 04:44:23+00:00,"VAKSIN 
AMAN dan HALAL.

SAYA SUDAH DI VAKSIN
.
.
JAGOAN PALEMBANG
JAGO PALEMBANG!
.
#polripresisi
#PolisiDulurKito
@irvanprawira
@novelsiswandi1977 https://t.co/TbCP06RLh2",Sumatera Selatan,Maret
33,PolsekPlaju3,2021-03-05 07:20:44+00:00,"LINDUNGI DIRI DAN KELUARGA DENGAN VAKSINASI COVID-19

Saya Sudah di Vaksin!

Kapolsek Plaju
Iptu Novel Siswandi Kurniawan, SH, MH
.
.
JAGOAN PALEMBANG
JAGO PALEMBANG!
.
#polripresisi
#PolisiDulurKito
@PolisiSumsel
@irvanprawira
@palembangpolice
@novelsiswandi1977 https://t.co/hJBVkclr9H",Sumatera Selatan,Maret
34,PolsekPlaju3,2021-03-05 07:19:15+00:00,"LINDUNGI DIRI DAN KELUARGA DENGAN VAKSINASI COVID-19

Saya Sudah di Vaksin!

Kapolsek Plaju
Iptu Novel Siswandi Kurniawan, SH, MH
.
.
JAGOAN PALEMBANG
JAGO PALEMBANG!
.
#polripresisi
#PolisiDulurKito
@PolisiSumsel
@irvanprawira
@palembangpolice
@novelsiswandi1977 https://t.co/VQa24ccmmo",Sumatera Selatan,Maret
35,PolsekPlaju3,2021-03-05 07:16:50+00:00,"LINDUNGI DIRI DAN KELUARGA DENGAN VAKSINASI COVID-19

Saya Siap di Vaksin!
.
.
JAGOAN PALEMBANG
JAGO PALEMBANG!
.
#polripresisi
#PolisiDulurKito
@PolisiSumsel
@irvanprawira
@palembangpolice
@novelsiswandi1977 https://t.co/Bth0svTl8D",Sumatera Selatan,Maret
